1,Kamil,Adamczyk,1
2,Tomasz,Adamczyk,3
3,Rafal,Wojcik,1
4,Sebastian,Kaczmarek,3
5,Sebastian,Kaczmarek,3
6,Sebastian,Krawczyk,1
7,Michal,Kaczmarek,3
8,Karol,Krawczyk,1
9,Marek,Nowak,2
10,Michal,Wozniak,3
11,Kamil,Wojcik,1
12,Anna,Wozniak,1
13,Anna,Krawczyk,1
14,Marek,Nowak,2
15,Kamil,Mazur,3
16,Marek,Dudek,3
17,Marek,Kowalczyk,1
18,Sebastian,Krawczyk,3
19,Andrzej,Wozniak,1
20,Piotr,Wozniak,2
21,Kamil,Dudek,3
22,Anna,Dudek,1
23,Jan,Nowak,2
24,Michal,Dudek,2
25,Anna,Mazur,3
26,Rafal,Wojcik,1
27,Karol,Wojcik,3
28,Tomasz,Krawczyk,1
29,Marek,Mazur,1
30,Anna,Krawczyk,3
31,Tomasz,Krawczyk,3
32,Kamil,Adamczyk,3
33,Anna,Krawczyk,1
34,Jan,Mazur,1
35,Piotr,Dudek,3
36,Kamil,Kowalczyk,1
37,Jan,Dudek,3
38,Piotr,Nowak,1
39,Anna,Wojcik,1
40,Marek,Adamczyk,3
41,Sebastian,Adamczyk,1
42,Sebastian,Dudek,2
43,Andrzej,Wojcik,3
44,Piotr,Wojcik,1
45,Kamil,Mazur,2
46,Karol,Kaczmarek,1
47,Andrzej,Kowalczyk,1
48,Pawel,Mazur,3
49,Anna,Kaczmarek,2
50,Jan,Krawczyk,3
51,Kamil,Krawczyk,3
52,Katarzyna,Nowak,1
53,Katarzyna,Krawczyk,3
54,Andrzej,Adamczyk,2
55,Tomasz,Nowak,3
56,Piotr,Kaczmarek,3
57,Piotr,Adamczyk,3
58,Sebastian,Dudek,1
59,Rafal,Wojcik,3
60,Jan,Wozniak,1
61,Rafal,Dudek,2
62,Piotr,Nowak,3
63,Jan,Adamczyk,2
64,Pawel,Mazur,2
65,Jan,Wojcik,2
66,Pawel,Krawczyk,3
67,Karol,Krawczyk,3
68,Anna,Dudek,2
69,Kamil,Mazur,3
70,Piotr,Wozniak,1
71,Tomasz,Krawczyk,2
72,Michal,Krawczyk,3
73,Anna,Kowalczyk,2
74,Rafal,Adamczyk,3
75,Pawel,Adamczyk,3
76,Marek,Dudek,1
77,Sebastian,Dudek,3
78,Rafal,Wojcik,3
79,Karol,Wojcik,2
80,Katarzyna,Adamczyk,2
